,Series
0,machine_001377352764
1,machine_001375477844
2,machine_000022505140
3,machine_001376509612
4,machine_000939992326
5,machine_000020733625
6,machine_000021372229
7,machine_000021841727
8,machine_001573860095
9,machine_000021372215
10,machine_001421952182
11,machine_001377412697
12,machine_001128248573
13,machine_000020732703
14,machine_000022305521
15,machine_000020737069
16,machine_000494843717
17,machine_000938794789
18,machine_001375477845
19,machine_001375623571
20,machine_001185507476
21,machine_000034560063
22,machine_000021373047
23,machine_001375616127
24,machine_001130908865
25,machine_000151927867
26,machine_000020736942
27,machine_000021202484
28,machine_000024332289
29,machine_000151929032
30,machine_000938828872
31,machine_000021284871
32,machine_000020736937
33,machine_001185191581
34,machine_000021297604
35,machine_000151848236
36,machine_000021375644
37,machine_000574395255
38,machine_000938957905
39,machine_000021383005
40,machine_001376057979
41,machine_000021292441
42,machine_001375477847
43,machine_000062157277
44,machine_000021242890
45,machine_001377848360
46,machine_001185510494
47,machine_000028023199
48,machine_001375616182
49,machine_000574738988
50,machine_001375637388
51,machine_000151918148
52,machine_000151918275
53,machine_000021393415
54,machine_000574472905
55,machine_000021428755
56,machine_001376524344
57,machine_001129108005
58,machine_000023297977
59,machine_000020736714
60,machine_001376481610
61,machine_000022947511
62,machine_000020736712
63,machine_000021372228
64,machine_000151931034
65,machine_000021408532
66,machine_000938989228
67,machine_000062159007
68,machine_000151923537
69,machine_000151919861
70,machine_000027031792
71,machine_000151934077
72,machine_000571885274
73,machine_000020744379
74,machine_000021430421
75,machine_000021383001
76,machine_000021408533
77,machine_001376504122
78,machine_000034985996
79,machine_001130924872
80,machine_000151919860
81,machine_000021394551
82,machine_000020733620
83,machine_000574675916
84,machine_001578634959
85,machine_001375614966
86,machine_001185557718
87,machine_000573115987
88,machine_000573273822
89,machine_000020736660
90,machine_000151836005
91,machine_000021210053
92,machine_000020737535
93,machine_001128837990
94,machine_000020737542
95,machine_001375476792
96,machine_000938980719
97,machine_000938885773
98,machine_000574675432
99,machine_001377055729
100,machine_000938859237
101,machine_001376264665
102,machine_000574468727
103,machine_001573486516
104,machine_001377908537
105,machine_000021284769
106,machine_001377596912
107,machine_001146283403
108,machine_000022930760
109,machine_000574675433
110,machine_000151927861
111,machine_000020738111
112,machine_001131230392
113,machine_000151931030
114,machine_000938762392
115,machine_000938916803
116,machine_001377075979
117,machine_001377618117
118,machine_000151931036
119,machine_001576040136
120,machine_000938882746
121,machine_000020736894
122,machine_001376277005
123,machine_000020850083
124,machine_001377783416
125,machine_000573082758
126,machine_001376080051
127,machine_000020736910
128,machine_000940033583
129,machine_000020734336
130,machine_000021378237
131,machine_001375488625
132,machine_000021531685
133,machine_000020738242
134,machine_000151839527
135,machine_000252600525
136,machine_000940070487
137,machine_001576200926
138,machine_000020744381
139,machine_001146097339
140,machine_000020744376
141,machine_000075825628
142,machine_000021375647
143,machine_000020737011
144,machine_001377672766
145,machine_001377323906
146,machine_001377127514
147,machine_000940046040
148,machine_000574118602
149,machine_001146136327
150,machine_001375616122
151,machine_000020736694
152,machine_000021421071
153,machine_001185525524
154,machine_001377327180
155,machine_000020738054
156,machine_001375614259
157,machine_000938989227
158,machine_001145840983
159,machine_000021238174
160,machine_001376555936
161,machine_000151864005
162,machine_001377626678
163,machine_000020736640
164,machine_001129496892
165,machine_000151864011
166,machine_000021381315
167,machine_000021225084
168,machine_001145931598
169,machine_000151819039
170,machine_000939917730
171,machine_000151920041
172,machine_000574741261
173,machine_000028264316
174,machine_000020738137
175,machine_001187339114
176,machine_001420427404
177,machine_000023353569
178,machine_001575664044
179,machine_000938885810
180,machine_001377350472
181,machine_001129026546
182,machine_001128627064
183,machine_001377327181
184,machine_001128387804
185,machine_001128359188
186,machine_000022339896
187,machine_001187154183
