,Series
0,machine_000020733621
1,machine_000021296941
2,machine_000938905131
3,machine_000577008708
4,machine_000940077795
5,machine_001185219195
6,machine_000151931916
7,machine_000021568422
8,machine_001578637328
9,machine_000151934073
10,machine_001375607068
11,machine_000020733600
12,machine_000021389249
13,machine_000021214361
14,machine_001185493605
15,machine_000021310332
16,machine_001376924667
17,machine_000062157275
18,machine_000151849087
19,machine_000020741527
20,machine_000020736977
21,machine_000021141112
22,machine_000020736607
23,machine_001375966047
24,machine_000022363730
25,machine_001131269810
26,machine_000020967740
27,machine_000252933373
28,machine_000151919974
29,machine_000021218150
30,machine_000021365801
31,machine_000938780059
32,machine_000021087196
33,machine_000021218154
34,machine_001375977442
35,machine_000021179506
36,machine_001375509254
37,machine_000574451489
38,machine_001376332589
39,machine_000020737076
40,machine_000573518757
41,machine_000940094803
42,machine_001377139791
43,machine_001376277002
44,machine_000023018749
45,machine_000021373050
46,machine_000020737531
47,machine_000021289473
48,machine_000020737039
49,machine_000045090857
50,machine_000021312260
51,machine_000020737116
52,machine_001377963279
53,machine_000572865394
54,machine_000021284383
55,machine_000022506460
56,machine_000021284368
57,machine_001376342331
58,machine_001576239073
59,machine_001146236058
60,machine_000151923539
61,machine_000151919869
62,machine_000938582137
63,machine_000151929014
64,machine_000021571384
65,machine_001574702331
66,machine_001375635511
67,machine_001130910956
68,machine_000575009071
69,machine_000020733601
70,machine_000020737056
71,machine_000021571386
72,machine_001128667016
73,machine_001377981050
74,machine_000668023731
75,machine_000151945235
76,machine_000939000758
77,machine_000021412012
78,machine_000572514442
79,machine_000940235866
80,machine_000021810522
81,machine_001128218213
82,machine_001376078570
83,machine_001185563736
84,machine_000021412019
85,machine_001131127209
86,machine_000021220563
87,machine_000022338306
88,machine_001377075997
89,machine_001377377731
90,machine_000021372219
91,machine_000020736591
92,machine_000064443191
93,machine_000020736941
94,machine_001375611953
95,machine_000062185130
96,machine_000062185124
97,machine_000021214419
98,machine_001130724039
99,machine_000494927490
100,machine_000021840479
101,machine_001377352809
102,machine_001377324072
103,machine_001130931108
104,machine_000938851618
105,machine_000020737004
106,machine_000022356154
107,machine_001375614258
108,machine_000022320983
109,machine_000938679572
110,machine_001573887327
111,machine_000021116067
112,machine_001377324073
113,machine_000020736656
114,machine_000938767764
115,machine_000021225086
116,machine_001145851252
117,machine_000938767765
118,machine_000049040888
119,machine_000021372216
120,machine_000020736695
121,machine_000021421078
122,machine_000938824245
123,machine_001375623190
124,machine_001377220964
125,machine_000022505139
126,machine_001377129815
127,machine_000021533865
128,machine_001576045420
129,machine_000151931046
130,machine_000021375658
131,machine_000021208843
132,machine_001377888763
133,machine_000021305997
134,machine_001377350475
135,machine_001375614967
136,machine_000021308829
137,machine_000021284813
138,machine_000495556297
139,machine_000020736722
140,machine_000151848234
141,machine_000938762393
142,machine_001375590690
143,machine_000022975349
144,machine_000021307769
145,machine_000021408535
146,machine_000151927871
147,machine_000034166520
148,machine_000021263130
149,machine_001377128618
150,machine_000020736951
151,machine_000021428752
152,machine_001129962234
153,machine_000021412020
154,machine_000020737119
155,machine_000021213125
156,machine_000151848235
157,machine_001129108003
158,machine_001578634962
159,machine_000938885716
160,machine_001377377760
161,machine_000020736938
162,machine_001376921988
163,machine_001375616181
164,machine_000021532186
165,machine_000021389239
166,machine_000020739362
167,machine_000021284386
168,machine_001163068276
169,machine_000494845250
170,machine_000021366169
171,machine_000253319238
172,machine_000021365805
173,machine_000022249357
174,machine_001130911924
175,machine_001128220442
176,machine_001578558132
177,machine_000938686389
178,machine_000151927862
179,machine_000940119882
180,machine_000021271987
181,machine_000021214391
182,machine_000020736664
183,machine_000151918279
184,machine_000020736978
185,machine_000020741528
186,machine_000574485569
187,machine_000020736987
188,machine_000021843328
189,machine_000062155176
190,machine_000020736911
191,machine_000151929026
192,machine_000020734337
193,machine_000938819620
194,machine_001377959485
195,machine_000021247078
196,machine_000939305043
197,machine_000021225333
198,machine_000494811204
199,machine_000021575987
200,machine_001377139850
201,machine_000021242380
202,machine_000939014861
203,machine_001375476791
204,machine_000020733595
205,machine_000020737095
206,machine_000021387326
207,machine_000021577706
208,machine_000151931025
209,machine_000020738261
210,machine_000574717125
211,machine_000021372220
212,machine_000021387321
213,machine_000020736636
214,machine_001578498780
215,machine_000940077798
216,machine_001375480620
217,machine_001128605073
218,machine_000021284213
219,machine_000021243994
220,machine_000021205043
221,machine_001377921157
222,machine_001129949252
223,machine_000020736972
224,machine_001187541876
225,machine_000021285496
226,machine_001130924863
227,machine_001375482143
228,machine_000940279486
229,machine_001146043083
230,machine_000020737112
231,machine_000021312264
232,machine_000938854313
233,machine_000026514947
234,machine_000021428758
235,machine_000252694617
236,machine_000021378228
237,machine_001574813213
238,machine_000023353657
239,machine_000151934083
240,machine_000021296399
241,machine_000573315130
242,machine_000021365709
243,machine_000021285497
244,machine_000023657605
245,machine_000020737064
246,machine_000020736973
247,machine_000021250647
248,machine_000021284370
249,machine_001185823191
250,machine_000021243995
251,machine_001377642916
252,machine_001376345103
253,machine_000021578409
254,machine_001375872820
255,machine_000021389250
256,machine_000021242888
257,machine_000022812170
258,machine_000020737065
259,machine_000021307911
260,machine_000021219859
261,machine_000020736701
262,machine_001491573920
263,machine_000020736970
264,machine_000020736932
265,machine_001578632587
266,machine_000021109326
267,machine_000939067339
268,machine_000020737139
269,machine_000021137545
270,machine_000940159276
271,machine_000079125491
272,machine_001375388634
273,machine_000396816960
274,machine_000021834880
275,machine_000062185115
276,machine_000021408528
277,machine_001463620528
278,machine_000182904532
279,machine_001129983120
280,machine_001378379989
281,machine_000020736927
282,machine_000062157279
283,machine_001378099580
284,machine_000021284284
285,machine_001574977998
286,machine_001573344782
287,machine_000021219858
288,machine_001377238613
289,machine_000021428759
290,machine_000032428661
291,machine_001375477848
292,machine_001129221339
293,machine_000939097667
294,machine_000021421073
295,machine_001130924862
296,machine_000151918150
297,machine_000020737104
298,machine_000021292300
299,machine_000020737098
300,machine_001129143631
301,machine_000021220559
302,machine_001377908538
303,machine_000940164758
304,machine_000023042534
305,machine_001376989327
306,machine_001376297681
307,machine_000021297603
308,machine_000021225551
309,machine_000573246662
310,machine_000028995021
311,machine_001185553549
312,machine_001375591099
313,machine_000940123327
314,machine_000185848826
315,machine_000938915935
316,machine_000020731766
317,machine_001573342606
318,machine_000022620984
319,machine_001128278719
320,machine_000020736648
321,machine_000020736960
322,machine_001574977989
323,machine_000021219861
324,machine_000021219857
325,machine_000021312263
326,machine_000939054444
327,machine_000022338305
328,machine_000021204373
329,machine_000020736956
330,machine_000938980720
331,machine_000151929020
332,machine_001129329125
333,machine_000021383000
334,machine_000020738144
335,machine_000573228433
336,machine_000021284381
337,machine_001375614968
338,machine_000938905130
339,machine_000151857496
340,machine_000021296093
341,machine_001578053733
342,machine_001503443861
343,machine_000020736638
344,machine_000020736604
345,machine_000021297602
346,machine_001185564413
347,machine_001463417290
348,machine_000151920039
349,machine_001376332588
350,machine_000151920005
351,machine_001376297678
352,machine_000020736884
353,machine_001375392850
354,machine_000020736957
355,machine_000573250839
356,machine_001377299597
357,machine_000574704899
358,machine_001376728733
359,machine_000020736734
360,machine_000020737101
361,machine_000021831532
362,machine_000021296948
363,machine_000571827010
364,machine_000020737057
365,machine_000021452221
366,machine_000020733616
367,machine_001128732343
368,machine_000021284372
369,machine_001375480817
370,machine_001187568612
371,machine_000020737066
372,machine_000940070563
373,machine_000021308831
374,machine_000020737099
375,machine_000022490634
376,machine_001375641575
377,machine_001375637385
378,machine_000021324661
379,machine_000021577704
380,machine_000020736634
381,machine_000938854346
382,machine_001145793787
383,machine_000020736933
384,machine_001376836878
385,machine_001575244695
386,machine_001376084252
387,machine_001377352808
388,machine_000021072261
389,machine_000021205045
390,machine_000021524972
391,machine_000021550981
392,machine_000062158199
393,machine_000021558858
394,machine_000573226158
395,machine_000021202481
396,machine_001491381526
397,machine_000940077797
398,machine_000021283786
399,machine_000573130755
400,machine_001377327267
401,machine_000021373052
402,machine_000021412011
403,machine_000021204372
404,machine_001375389193
405,machine_000021110565
406,machine_001130875609
407,machine_000151934085
408,machine_000020733594
409,machine_000020741519
410,machine_000020736639
411,machine_000021387315
412,machine_000021400969
413,machine_000939080304
414,machine_000151919962
415,machine_000021284873
416,machine_000151931028
417,machine_000574652367
418,machine_001420458029
419,machine_000035171247
420,machine_000020736693
421,machine_000573981560
422,machine_000572899437
423,machine_000020744588
424,machine_000022498957
425,machine_000020736730
426,machine_000062156458
427,machine_000938985217
428,machine_001377787786
429,machine_001375635558
430,machine_001185821955
431,machine_001128644468
432,machine_000020744621
433,machine_001377904268
434,machine_000151828759
435,machine_001129145604
436,machine_001574304477
437,machine_000573125313
438,machine_001130918568
439,machine_001128605430
440,machine_000021375656
441,machine_001145793724
442,machine_000020737000
443,machine_000020738258
444,machine_000151931032
445,machine_000020737014
446,machine_000036748656
447,machine_000026617653
448,machine_000151819037
449,machine_000494834135
450,machine_001377128634
451,machine_000023532842
452,machine_000151932051
453,machine_001377126411
454,machine_000021382997
455,machine_000021211872
456,machine_000020736666
457,machine_001128363179
458,machine_000020736672
459,machine_000021378224
460,machine_000252694528
461,machine_001573404480
462,machine_000571890735
463,machine_000151919859
464,machine_001129516625
465,machine_000574474579
466,machine_000571969256
467,machine_000021399554
468,machine_000021408536
469,machine_000021214422
470,machine_000495312207
471,machine_001375476793
472,machine_000020736991
473,machine_000151919865
474,machine_000574096938
475,machine_000021378219
476,machine_000020736916
477,machine_000574092273
478,machine_000574395540
479,machine_001375592479
480,machine_000021408287
481,machine_000062155178
482,machine_000020736919
483,machine_000022353490
484,machine_000020734324
485,machine_000021548360
486,machine_001376057978
487,machine_000151918054
488,machine_001128629265
489,machine_000021571432
