,Series
0,machine_000020737024
1,machine_000021382999
2,machine_001375616124
3,machine_000020744583
4,machine_000020738138
5,machine_000151923545
6,machine_001376556411
7,machine_001130710874
8,machine_000021392416
9,machine_000020737160
10,machine_000021548362
11,machine_000151832112
12,machine_000021814902
13,machine_000020736711
14,machine_000020738086
15,machine_000020851415
16,machine_000020736901
17,machine_000020736936
18,machine_001187498183
19,machine_000020736922
20,machine_001375999039
21,machine_000021399563
22,machine_001377129859
23,machine_000938885808
24,machine_000572897627
25,machine_000574490257
26,machine_000022806700
27,machine_000021392421
28,machine_000021214320
29,machine_000020744352
30,machine_000571714863
31,machine_000021297605
32,machine_000020736667
33,machine_000938762525
34,machine_000021284874
35,machine_000020736698
36,machine_001375615023
37,machine_000572376426
38,machine_000023266462
39,machine_001377509585
40,machine_001185812686
41,machine_000021579160
42,machine_000062159006
43,machine_000020738058
44,machine_000021365713
45,machine_001185510145
46,machine_000020973859
47,machine_001376791666
48,machine_000020736934
49,machine_000020741564
50,machine_001376080049
51,machine_000020744818
52,machine_001378097871
53,machine_000021284320
54,machine_001376330384
55,machine_000021561856
56,machine_000940094804
57,machine_001578052391
58,machine_001128206625
59,machine_000022506458
60,machine_000021242630
61,machine_000494968197
62,machine_001187426667
63,machine_000151932044
64,machine_000021571380
65,machine_001375488627
66,machine_000023285637
67,machine_001128625127
68,machine_000022502748
69,machine_000023367150
70,machine_000020737091
71,machine_000494906623
72,machine_000034534508
73,machine_000020736655
74,machine_000021284286
75,machine_001377961506
76,machine_000020747658
77,machine_001377672828
78,machine_001421693462
79,machine_000494917555
80,machine_000021412989
81,machine_000574430662
82,machine_000020737078
83,machine_001128154952
84,machine_000021178090
85,machine_000020744604
86,machine_000020737013
87,machine_001420325778
88,machine_001376279037
89,machine_001375379822
90,machine_000494784349
91,machine_000021271991
92,machine_000039694249
93,machine_001377139847
94,machine_001377940832
95,machine_001128625579
96,machine_000020736947
97,machine_001376555937
98,machine_000020736925
99,machine_001335292888
100,machine_000020736710
101,machine_000021384471
102,machine_000020737003
103,machine_000939014862
104,machine_000020737017
105,machine_001185884250
106,machine_000020734321
107,machine_000021400962
108,machine_000020737867
109,machine_000151931029
110,machine_001377193150
111,machine_001376330409
112,machine_001128201798
113,machine_000021952748
114,machine_000151828879
115,machine_000021210057
116,machine_000027208683
117,machine_000495389974
118,machine_001377129936
119,machine_000021387317
120,machine_001187862258
121,machine_000020736682
122,machine_000021393410
123,machine_000022368119
124,machine_001461283652
125,machine_000021369274
126,machine_000020736708
127,machine_001422517152
128,machine_000020736686
129,machine_000025676982
130,machine_000020737087
131,machine_001130918567
132,machine_001145834852
133,machine_001578283564
134,machine_000020736645
135,machine_001375475631
136,machine_000021137928
137,machine_000021373055
138,machine_000020736679
139,machine_000938847647
140,machine_001146150286
141,machine_000020737072
142,machine_000940041348
143,machine_000020736944
144,machine_000021392418
145,machine_000020737080
146,machine_000021284366
147,machine_001377352749
148,machine_001130932553
149,machine_000574694806
150,machine_000938986136
151,machine_000020737085
152,machine_000020736909
153,machine_001130924864
154,machine_001377139848
155,machine_000021242629
156,machine_000021399559
157,machine_000021087191
158,machine_000021375657
159,machine_001375616126
160,machine_000021437724
161,machine_000494913838
162,machine_001377672043
163,machine_000062156447
164,machine_000494784279
165,machine_000494930928
166,machine_000021346458
167,machine_000049850405
168,machine_000024856456
169,machine_000023327667
170,machine_000062185187
171,machine_000021814903
172,machine_001575244814
173,machine_000021307906
174,machine_000021392423
175,machine_000938684710
176,machine_000938799478
177,machine_001377848358
178,machine_000021964271
179,machine_000938989331
180,machine_001376871716
181,machine_001377412713
182,machine_000021965679
183,machine_000062156445
184,machine_001145817715
185,machine_000050428396
186,machine_000020737140
187,machine_001185202871
188,machine_000021297606
189,machine_000572241129
190,machine_001129209153
191,machine_001185804100
192,machine_000494920932
193,machine_001377126413
194,machine_000020733599
195,machine_000151864009
196,machine_000938885809
197,machine_000574659917
198,machine_001130911809
199,machine_000939161528
200,machine_000573288319
201,machine_000020736843
202,machine_001376251380
203,machine_001129234543
204,machine_000021109207
205,machine_001375488628
206,machine_000020737866
207,machine_000494924846
208,machine_001377527851
209,machine_000021375457
210,machine_001130875619
211,machine_000021399558
212,machine_000021381317
213,machine_001375493313
214,machine_001185579811
215,machine_000021312463
216,machine_000151923677
217,machine_001376524343
218,machine_000021284768
219,machine_000022493662
220,machine_000574411197
221,machine_000021305995
222,machine_000572902041
223,machine_000062156444
224,machine_000021284875
225,machine_000020969546
226,machine_000938904050
227,machine_000573518744
228,machine_001375635514
229,machine_001377352806
230,machine_000021307905
231,machine_000020736665
232,machine_000938985177
233,machine_001377126412
234,machine_000021210055
235,machine_000939306442
236,machine_000021955463
237,machine_000021304767
238,machine_000020736659
239,machine_000020737547
240,machine_000062156450
241,machine_000020967726
242,machine_001375868047
243,machine_000573259012
244,machine_000021373048
245,machine_001377327269
246,machine_000151919975
247,machine_000020736671
248,machine_000021387329
249,machine_000023005003
250,machine_001377139789
251,machine_000151919866
252,machine_000020736635
253,machine_000022671475
254,machine_000020736966
255,machine_000574715302
256,machine_000572248163
257,machine_000020737118
258,machine_000940033536
259,machine_001578558131
260,machine_000573125312
261,machine_000938852339
262,machine_001145788585
263,machine_001377412698
264,machine_000022502783
265,machine_000022806947
266,machine_000574625220
267,machine_000021284378
268,machine_000030900373
269,machine_001376332591
270,machine_000021372217
271,machine_001375623189
272,machine_000021284212
273,machine_001378019816
274,machine_000022519898
275,machine_000028992555
276,machine_000571902122
277,machine_001128837989
278,machine_000020967739
279,machine_001377075998
280,machine_000020736992
281,machine_000021556000
282,machine_001420696875
283,machine_001130911954
284,machine_000572892934
285,machine_000021361385
286,machine_001377328838
287,machine_000020736986
288,machine_000021366401
289,machine_000021372306
290,machine_000151920008
291,machine_000574011650
292,machine_000151934082
293,machine_000151953467
294,machine_000020736842
295,machine_001377377716
