,Series
0,machine_000020733612
1,machine_000020734328
2,machine_000020736634
3,machine_000020736938
4,machine_000020736944
5,machine_000020736998
6,machine_000020737017
7,machine_000020737066
8,machine_000020737138
9,machine_000020738144
10,machine_000020738215
11,machine_000020738220
12,machine_000020744380
13,machine_000021214361
14,machine_000021246715
15,machine_000021292300
16,machine_000021307873
17,machine_000021372305
18,machine_000021373048
19,machine_000021378221
20,machine_000021532185
21,machine_000022339895
22,machine_000062159006
23,machine_000062159008
24,machine_000100217273
25,machine_000396816960
26,machine_000494926207
27,machine_000494927488
28,machine_000573226158
29,machine_000573733495
30,machine_000574092273
31,machine_000574694808
32,machine_000938730530
33,machine_000938779519
34,machine_000938780059
35,machine_000938799808
36,machine_000938852339
37,machine_000938921319
38,machine_000938980719
39,machine_000938989228
40,machine_000939080304
41,machine_000939080344
42,machine_000939305043
43,machine_000939981611
44,machine_000940043828
45,machine_001185557718
46,machine_001185564279
47,machine_001375391572
48,machine_001375623188
49,machine_001375637387
50,machine_001375977443
51,machine_001376264664
52,machine_001376330389
53,machine_001376335587
54,machine_001376347380
55,machine_001376504122
56,machine_001377075998
57,machine_001377327180
58,machine_001377328836
59,machine_001377352748
60,machine_001377352804
61,machine_001377412698
62,machine_001461488546
63,machine_001461489032
