,Series
0,machine_000020733600
1,machine_000020733625
2,machine_000020736696
3,machine_000020736704
4,machine_000020736731
5,machine_000020736941
6,machine_000020737012
7,machine_000020737038
8,machine_000020737082
9,machine_000020737084
10,machine_000021178087
11,machine_000021179505
12,machine_000021210055
13,machine_000021214392
14,machine_000021218152
15,machine_000021219859
16,machine_000021225088
17,machine_000021250972
18,machine_000021285498
19,machine_000021312263
20,machine_000021369274
21,machine_000021372225
22,machine_000021799165
23,machine_000021833280
24,machine_000022767099
25,machine_000022785452
26,machine_000022975349
27,machine_000027031792
28,machine_000062185130
29,machine_000062185131
30,machine_000253319238
31,machine_000253475119
32,machine_000571890735
33,machine_000573115987
34,machine_000573125313
35,machine_000573130630
36,machine_000573250839
37,machine_000574675431
38,machine_000574738988
39,machine_000938916803
40,machine_000940094803
41,machine_001128085523
42,machine_001128661986
43,machine_001129026546
44,machine_001129108005
45,machine_001130910956
46,machine_001130931115
47,machine_001131112478
48,machine_001131183174
49,machine_001131183175
50,machine_001145849813
51,machine_001145850860
52,machine_001187328751
53,machine_001375374316
54,machine_001375388646
55,machine_001375872820
56,machine_001376504123
57,machine_001377350473
58,machine_001377542099
59,machine_001377641300
60,machine_001378099580
61,machine_001491518304
62,machine_001575077488
