,Series
0,machine_000020732703
1,machine_000020733596
2,machine_000020733602
3,machine_000020733613
4,machine_000020733614
5,machine_000020734321
6,machine_000020734322
7,machine_000020734324
8,machine_000020734325
9,machine_000020734339
10,machine_000020736604
11,machine_000020736605
12,machine_000020736607
13,machine_000020736637
14,machine_000020736645
15,machine_000020736648
16,machine_000020736656
17,machine_000020736661
18,machine_000020736666
19,machine_000020736672
20,machine_000020736674
21,machine_000020736681
22,machine_000020736690
23,machine_000020736693
24,machine_000020736702
25,machine_000020736710
26,machine_000020736711
27,machine_000020736724
28,machine_000020736726
29,machine_000020736882
30,machine_000020736899
31,machine_000020736918
32,machine_000020736919
33,machine_000020736922
34,machine_000020736924
35,machine_000020736926
36,machine_000020736930
37,machine_000020736933
38,machine_000020736934
39,machine_000020736935
40,machine_000020736936
41,machine_000020736947
42,machine_000020736956
43,machine_000020736962
44,machine_000020736970
45,machine_000020736973
46,machine_000020736980
47,machine_000020736986
48,machine_000020736995
49,machine_000020737000
50,machine_000020737002
51,machine_000020737003
52,machine_000020737004
53,machine_000020737008
54,machine_000020737014
55,machine_000020737022
56,machine_000020737050
57,machine_000020737051
58,machine_000020737067
59,machine_000020737068
60,machine_000020737087
61,machine_000020737092
62,machine_000020737097
63,machine_000020737099
64,machine_000020737108
65,machine_000020737111
66,machine_000020737119
67,machine_000020737120
68,machine_000020737535
69,machine_000020737544
70,machine_000020737545
71,machine_000020737547
72,machine_000020737862
73,machine_000020737867
74,machine_000020738133
75,machine_000020738138
76,machine_000020738217
77,machine_000020738252
78,machine_000020738258
79,machine_000020739356
80,machine_000020739366
81,machine_000020741527
82,machine_000020741529
83,machine_000020741564
84,machine_000020744352
85,machine_000020744381
86,machine_000020744583
87,machine_000020744588
88,machine_000020744604
89,machine_000020744606
90,machine_000020747499
91,machine_000020748053
92,machine_000021072262
93,machine_000021089258
94,machine_000021110566
95,machine_000021116081
96,machine_000021130510
97,machine_000021137546
98,machine_000021141112
99,machine_000021141264
100,machine_000021169269
101,machine_000021214360
102,machine_000021220559
103,machine_000021220560
104,machine_000021242629
105,machine_000021284209
106,machine_000021284212
107,machine_000021284286
108,machine_000021284319
109,machine_000021284321
110,machine_000021284371
111,machine_000021284381
112,machine_000021284382
113,machine_000021285495
114,machine_000021296941
115,machine_000021305995
116,machine_000021305999
