,Series
0,machine_000021284380
1,machine_001129329125
2,machine_000020736901
3,machine_000031126882
4,machine_000151934084
5,machine_000938921319
6,machine_000938852339
7,machine_000396816960
8,machine_001185821954
9,machine_000020738131
10,machine_000252600528
11,machine_001377129815
12,machine_001422629210
13,machine_001254387040
14,machine_000021072261
15,machine_001146046546
16,machine_001375591102
17,machine_000021108567
18,machine_001128625414
19,machine_001377672043
20,machine_001375593980
21,machine_000494794266
22,machine_001128837989
23,machine_001377352748
24,machine_000151832113
25,machine_000020736635
26,machine_000494817899
27,machine_000020738215
28,machine_001335292888
29,machine_001185551539
30,machine_000021087191
31,machine_000494926207
32,machine_000573737280
33,machine_001128278719
34,machine_001377352806
35,machine_000021421076
36,machine_000939000756
37,machine_000020737021
38,machine_001145793724
39,machine_001377220964
40,machine_001376330389
41,machine_001129234543
42,machine_000020736664
43,machine_001376335587
44,machine_000049040888
45,machine_001376728733
46,machine_000036748656
47,machine_000021178085
48,machine_000021239049
49,machine_001375613544
50,machine_000573518744
51,machine_000574451491
52,machine_001376400793
53,machine_000062185187
54,machine_000020737065
55,machine_000030889482
56,machine_000573226158
57,machine_001376368800
58,machine_000020737028
59,machine_000020737865
60,machine_000575034927
61,machine_001130875619
62,machine_000020967707
63,machine_000021307764
64,machine_001377327267
65,machine_000574675915
66,machine_000021373048
67,machine_001377075998
68,machine_001128837991
69,machine_001377352804
70,machine_000021561855
71,machine_000938985177
72,machine_000020737035
73,machine_000573088853
74,machine_000573130755
75,machine_000021307905
76,machine_001376368801
77,machine_000021387324
78,machine_000020738144
79,machine_001375606824
80,machine_001377075980
81,machine_001375616125
82,machine_000572902041
83,machine_001377154501
84,machine_000036932631
85,machine_001377848359
86,machine_001377412698
87,machine_000020736971
88,machine_001378019815
89,machine_000021285497
90,machine_000021307873
91,machine_000938982169
92,machine_001377328836
93,machine_000036067498
94,machine_000021214365
95,machine_001145790064
96,machine_000020737138
97,machine_000021308829
98,machine_001377509585
99,machine_000938762525
100,machine_000020737110
101,machine_001128606605
102,machine_001187326085
103,machine_001185804100
104,machine_001375607066
105,machine_000020736998
106,machine_001375391572
107,machine_001494345312
108,machine_000574996032
109,machine_001185558545
110,machine_000021559059
111,machine_001461489032
