Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022747442,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001163068276,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000049040163,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377117658,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185551540,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737103,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574485569,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736987,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151934086,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022669389,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375897895,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736976,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000572865394,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021214420,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001130908865,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021214391,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938762392,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022620986,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377075979,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021560059,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151929014,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021214360,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375614966,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000573273822,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021284767,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737535,Cluster 0
