,Series
0,machine_001376078422
1,machine_001185202871
2,machine_000020736639
3,machine_000021202484
4,machine_000021807936
5,machine_000938887004
6,machine_000022476186
7,machine_000494917555
8,machine_000020736698
9,machine_001185558546
10,machine_000021210057
11,machine_001375623189
12,machine_000938915934
13,machine_000021375643
14,machine_001378019816
15,machine_001377888802
16,machine_001375488628
17,machine_000021284384
18,machine_001375616126
19,machine_000021428755
20,machine_000021387316
21,machine_000938824245
22,machine_000021210056
23,machine_001375611954
24,machine_000020736897
25,machine_001185510494
26,machine_000021393403
27,machine_001377075996
28,machine_000021383000
29,machine_000021137928
30,machine_000022498956
31,machine_001421952182
32,machine_000021550981
33,machine_000021399563
34,machine_000021202483
35,machine_000021428751
36,machine_001375616182
37,machine_000021408532
38,machine_000938767765
39,machine_000021400963
40,machine_001376481610
41,machine_001377328838
42,machine_000020737536
43,machine_000021530654
44,machine_000020733605
45,machine_000062184396
46,machine_000938916805
47,machine_000022305519
48,machine_000938957907
49,machine_000020736940
50,machine_000021428759
51,machine_000021421075
52,machine_000021219857
53,machine_000020737537
54,machine_001376057978
55,machine_000049915104
56,machine_000022338305
57,machine_001376524344
58,machine_000095570998
59,machine_001375616178
60,machine_000022671475
61,machine_000938679572
62,machine_000021116067
63,machine_000020733623
64,machine_000938887005
65,machine_001375616127
66,machine_001377908537
67,machine_000022506460
68,machine_000021284383
69,machine_000940094802
70,machine_000021307908
71,machine_000495556297
72,machine_000021400960
73,machine_000022265819
74,machine_000021305993
75,machine_001377940831
76,machine_001376035963
77,machine_001376080049
78,machine_001377412713
79,machine_000020748054
80,machine_000020736991
81,machine_000021389246
82,machine_000571902122
83,machine_000571827010
84,machine_000021387329
85,machine_000020736978
86,machine_001376335590
87,machine_000023532842
88,machine_001377075995
89,machine_000939962808
90,machine_000572892934
91,machine_000020737081
92,machine_001375607067
93,machine_000938882746
94,machine_001377075979
95,machine_001377352809
96,machine_000021560059
97,machine_001378082133
98,machine_001578634962
99,machine_000020736952
100,machine_000020737056
101,machine_000026514947
102,machine_000021087195
103,machine_001131276718
104,machine_001578207518
105,machine_000573380207
106,machine_000021109207
107,machine_001377075966
108,machine_000020737086
109,machine_001375476793
110,machine_000494930928
111,machine_000938885809
112,machine_000938957906
113,machine_000020736969
114,machine_000020737080
115,machine_000940279486
116,machine_001375379823
117,machine_001375607070
118,machine_000494784279
119,machine_000938853226
120,machine_001375591285
121,machine_000021305992
122,machine_000021307872
123,machine_000025676982
124,machine_001376251150
125,machine_000021365804
126,machine_000020737140
127,machine_001376509612
128,machine_000940033536
129,machine_000021571383
130,machine_001185563736
131,machine_000021383005
132,machine_000020737047
133,machine_001130868833
134,machine_001376078423
135,machine_000021437724
136,machine_000020737530
137,machine_000021408533
138,machine_000062164095
139,machine_001375392850
140,machine_001013048233
141,machine_001377940830
142,machine_000021205164
143,machine_001375479411
144,machine_000020737126
145,machine_000034560063
146,machine_000020737118
147,machine_000020738058
148,machine_000020733622
149,machine_000021284320
150,machine_000022502748
151,machine_001376057979
152,machine_001376330409
153,machine_000020737112
154,machine_001376332592
155,machine_000020736909
156,machine_000021531939
157,machine_000938989226
158,machine_000021392419
159,machine_000021399558
160,machine_000021399564
161,machine_001420696875
162,machine_000021284284
163,machine_000062100195
164,machine_000020736911
165,machine_000020734337
166,machine_000938989227
167,machine_000938819620
168,machine_000494811204
169,machine_000021178098
170,machine_000020738242
171,machine_000021531685
172,machine_000938986136
173,machine_001375592480
174,machine_001377377760
175,machine_000021378223
176,machine_000020736680
177,machine_001375379658
178,machine_000021214325
179,machine_000021109326
180,machine_001375614258
181,machine_000062156448
182,machine_001378093372
183,machine_000020736683
184,machine_000020738137
185,machine_000021225084
186,machine_000020736640
187,machine_000020736898
188,machine_000020736649
189,machine_000021284870
190,machine_001375590690
191,machine_000021421073
192,machine_001130855658
193,machine_000938730529
194,machine_000020736701
195,machine_000026045148
196,machine_001576045420
197,machine_000494843387
198,machine_000021137545
199,machine_000020973863
200,machine_001377848360
201,machine_000021366169
202,machine_000020736700
203,machine_001129143042
204,machine_001187306303
205,machine_001377921153
206,machine_000020737117
207,machine_000024309935
208,machine_000572865394
209,machine_000521017497
210,machine_000938764672
211,machine_001375607069
212,machine_001377981050
213,machine_000049040163
214,machine_000021308826
215,machine_000021462668
216,machine_000938905130
217,machine_000022460711
218,machine_001503443861
219,machine_001377327253
220,machine_000020737063
221,machine_000021297606
222,machine_001377412714
223,machine_000020732906
224,machine_000021556003
225,machine_000021372218
226,machine_000021307765
227,machine_000021421072
228,machine_000020737005
229,machine_001376332589
230,machine_000020737062
231,machine_001376277002
232,machine_000020744584
233,machine_000020737089
234,machine_001377327252
235,machine_000021292299
236,machine_001376233208
237,machine_000021297602
238,machine_000939000758
239,machine_001375607068
240,machine_000020737116
241,machine_000572514442
242,machine_001376305245
243,machine_000938852337
244,machine_000020738219
245,machine_001377116619
246,machine_000020736591
247,machine_000020736660
248,machine_000020737543
249,machine_001376080052
250,machine_001144531543
251,machine_001375616123
