,Series
0,machine_001377783416
1,machine_000021214070
2,machine_000021179505
3,machine_001377672766
4,machine_000021375644
5,machine_000021833514
6,machine_000573125313
7,machine_001128667016
8,machine_000022500761
9,machine_000022502604
10,machine_001128696959
11,machine_000020967742
12,machine_000020988074
13,machine_000034407717
14,machine_001129089710
15,machine_001130895404
16,machine_001187413267
17,machine_000022363730
18,machine_001128603553
19,machine_000020737542
20,machine_001574702331
21,machine_000151919962
22,machine_000021214319
23,machine_000022498957
24,machine_000033563793
25,machine_000573115987
26,machine_000022265820
27,machine_001573355034
28,machine_000062165730
29,machine_000021378237
30,machine_000024856456
31,machine_000075825628
32,machine_000022519897
33,machine_000020736927
34,machine_000020850083
35,machine_001575244814
36,machine_000023002727
37,machine_001576239073
38,machine_000151864006
39,machine_000151864012
40,machine_001130931108
41,machine_001130875609
42,machine_000021225553
43,machine_001375591284
44,machine_001573486516
45,machine_001377641300
46,machine_000020948442
47,machine_000021372225
48,machine_000021220563
49,machine_000574694809
50,machine_000021840479
51,machine_000020736590
52,machine_001131230392
53,machine_000062157276
54,machine_001128605430
55,machine_000028995799
56,machine_000574675433
57,machine_000062159007
58,machine_000022320984
59,machine_000021375456
60,machine_000062156452
61,machine_001377055729
62,machine_000027031792
63,machine_001377783458
64,machine_001376342331
65,machine_000021375656
66,machine_000021213125
67,machine_000573250839
68,machine_000021205046
69,machine_001128837990
70,machine_001578053733
71,machine_000020967728
72,machine_000021830723
73,machine_001131276720
74,machine_000573259014
75,machine_000151931921
76,machine_000020733600
77,machine_000021284772
78,machine_001573868907
79,machine_000938916804
80,machine_001376924667
81,machine_001129108004
82,machine_000021247437
83,machine_000151927873
84,machine_000022785452
85,machine_000021219862
86,machine_000021412985
87,machine_001128087483
88,machine_001130893860
89,machine_001377642916
90,machine_001377450923
91,machine_001129108990
92,machine_000021208843
93,machine_001145931598
94,machine_001377994084
95,machine_000020737084
96,machine_001130929307
97,machine_001129221339
98,machine_000252939048
99,machine_000062157275
100,machine_001130929313
101,machine_000571890735
102,machine_001145827675
103,machine_000020737012
104,machine_001573553799
105,machine_000045090857
106,machine_000574675431
107,machine_000252694528
108,machine_000939045173
109,machine_000027296426
110,machine_001573860095
111,machine_000021285498
112,machine_000021214324
113,machine_000574741261
114,machine_000021202320
115,machine_000020981431
116,machine_001575343155
117,machine_000021381323
118,machine_001578543899
119,machine_001129031876
120,machine_001128691100
121,machine_000062185092
122,machine_000021271991
123,machine_001145770527
124,machine_001145850860
125,machine_000022338619
126,machine_000020967725
127,machine_001398101172
128,machine_001491518304
129,machine_000021289475
130,machine_001377673762
131,machine_000940070650
132,machine_000021389249
133,machine_000062185131
134,machine_000028264316
135,machine_001146236058
136,machine_000020737038
137,machine_001146136326
138,machine_001129026546
139,machine_000021816351
140,machine_001575664044
141,machine_000062185130
142,machine_001573344782
143,machine_000062185124
144,machine_000021214419
145,machine_000574006337
146,machine_000021408525
147,machine_000021381320
148,machine_000022812170
149,machine_000021178087
150,machine_001129108006
151,machine_000020851142
152,machine_001377139850
153,machine_000021242380
154,machine_000021365709
155,machine_000252600525
156,machine_001129949252
157,machine_001129249519
158,machine_000021810522
159,machine_000020736941
160,machine_001129962234
161,machine_001461485367
162,machine_000021218152
163,machine_001146059911
164,machine_000022480872
165,machine_000021225086
166,machine_001145851252
167,machine_001578632587
168,machine_001578283563
169,machine_001376332590
170,machine_000022339896
171,machine_000021421078
172,machine_001573291480
173,machine_001128359188
174,machine_000021369273
175,machine_001129319861
176,machine_001128387804
177,machine_000021533869
178,machine_000253033261
179,machine_000574411197
180,machine_001128627064
181,machine_000253475119
182,machine_000151923539
183,machine_001130910956
184,machine_000021307910
185,machine_000574717125
186,machine_000062158201
187,machine_001129983874
188,machine_000021109491
189,machine_000020967706
190,machine_000574738988
191,machine_000021210061
192,machine_000021577706
193,machine_000021304766
194,machine_000021312264
195,machine_000574462343
196,machine_000021204374
197,machine_000062155170
198,machine_000021214367
199,machine_001375482143
200,machine_000021389250
201,machine_000573356513
202,machine_001576142850
203,machine_001146043083
204,machine_000021548360
205,machine_001128334674
206,machine_000021225551
207,machine_001574813213
208,machine_001130924872
209,machine_000021965679
210,machine_000020737048
211,machine_000021472849
212,machine_000021242889
213,machine_000021312464
214,machine_001132589876
215,machine_000021219866
216,machine_000021218149
217,machine_000021249460
218,machine_000026617653
219,machine_001375872820
220,machine_000574432123
221,machine_000021250647
222,machine_000022493661
223,machine_000021578409
224,machine_000021307904
225,machine_001377695767
226,machine_000022502783
227,machine_000021219864
228,machine_000021346458
229,machine_001375374316
230,machine_000021375457
231,machine_000021372310
232,machine_000022099596
233,machine_000021834880
234,machine_000021296096
235,machine_000021366403
236,machine_000023028314
237,machine_000021955463
238,machine_000573125312
239,machine_000021210060
240,machine_000020969546
241,machine_001578558131
242,machine_000574717124
243,machine_000021833280
244,machine_000020737009
245,machine_001130911954
246,machine_001129036456
247,machine_000022493662
248,machine_000021955461
249,machine_001129024821
250,machine_001491573920
251,machine_000021219859
252,machine_000021214320
253,machine_001146150286
254,machine_000021284874
255,machine_001578498780
256,machine_000021204376
257,machine_000572376432
258,machine_000021214322
259,machine_000021243997
260,machine_001129143631
261,machine_001574836522
262,machine_000021243994
263,machine_000021205043
264,machine_000021297607
265,machine_000021437725
266,machine_001378099580
267,machine_000028992555
268,machine_000021202350
269,machine_001128627207
270,machine_000022659502
271,machine_000574011650
272,machine_000021296943
273,machine_000021284385
274,machine_000151931919
275,machine_000151923673
276,machine_000021833279
277,machine_001377644047
278,machine_000021833523
279,machine_000021202481
280,machine_000574472905
281,machine_000021393415
282,machine_000021179730
283,machine_000062156444
284,machine_000021214321
285,machine_001129261687
286,machine_001129983118
287,machine_000021560261
288,machine_000062156450
289,machine_001573342606
290,machine_000021373052
291,machine_001578567908
292,machine_000574630414
293,machine_000020851720
294,machine_001129108005
295,machine_000021219861
296,machine_000574702154
297,machine_000573345636
298,machine_000020967740
299,machine_000021816352
300,machine_000151929020
301,machine_000021214368
302,machine_001130931107
303,machine_001578558132
304,machine_001575244695
305,machine_000252614640
306,machine_000021225088
307,machine_000573128890
308,machine_000253319238
309,machine_000023028379
310,machine_001376504123
311,machine_000574675916
312,machine_000574468727
313,machine_001376348595
314,machine_001376556410
315,machine_000023018748
316,machine_001130911809
317,machine_000021833521
318,machine_001129518638
319,machine_000020733594
320,machine_000021392422
321,machine_000021243993
