,Series
319,machine_001376078569
320,machine_001376264664
321,machine_001376264667
322,machine_001376330389
323,machine_001376335587
324,machine_001376347380
325,machine_001376368800
326,machine_001376368801
327,machine_001376400793
328,machine_001376504122
329,machine_001376524358
330,machine_001376555938
331,machine_001376728733
332,machine_001376791927
333,machine_001376821390
334,machine_001376836878
335,machine_001376871716
336,machine_001376876791
337,machine_001376989327
338,machine_001377075980
339,machine_001377075998
340,machine_001377105703
341,machine_001377126412
342,machine_001377129815
343,machine_001377139790
344,machine_001377139847
345,machine_001377154501
346,machine_001377193150
347,machine_001377220964
348,machine_001377238613
349,machine_001377263122
350,machine_001377264631
351,machine_001377327180
352,machine_001377327267
353,machine_001377328836
354,machine_001377352748
355,machine_001377352804
356,machine_001377352805
357,machine_001377352806
358,machine_001377377716
359,machine_001377377731
360,machine_001377412698
361,machine_001377509585
362,machine_001377626678
363,machine_001377672043
364,machine_001377848359
365,machine_001377961506
366,machine_001378019815
367,machine_001420427404
368,machine_001420432997
369,machine_001422629210
370,machine_001461488546
371,machine_001461489032
372,machine_001491574230
373,machine_001494345312
374,machine_001573259479
375,machine_001573969913
376,machine_001574329911
377,machine_001578053732
378,machine_001578186403
