,Series
0,machine_000020733594
1,machine_000020733600
2,machine_000020733625
3,machine_000020736590
4,machine_000020736696
5,machine_000020736704
6,machine_000020736731
7,machine_000020736923
8,machine_000020736927
9,machine_000020736941
10,machine_000020736951
11,machine_000020737009
12,machine_000020737012
13,machine_000020737038
14,machine_000020737048
15,machine_000020737072
16,machine_000020737082
17,machine_000020737084
18,machine_000020737101
19,machine_000020737542
20,machine_000020741515
21,machine_000020850083
22,machine_000020851142
23,machine_000020851415
24,machine_000020851720
25,machine_000020935939
26,machine_000020948442
27,machine_000020963134
28,machine_000020967706
29,machine_000020967725
30,machine_000020967728
31,machine_000020967740
32,machine_000020967742
33,machine_000020969546
34,machine_000020981431
35,machine_000020988074
36,machine_000021109491
37,machine_000021178087
38,machine_000021179505
39,machine_000021179506
40,machine_000021179730
41,machine_000021202320
42,machine_000021202350
43,machine_000021202481
44,machine_000021204373
45,machine_000021204374
46,machine_000021204376
47,machine_000021205043
48,machine_000021205045
49,machine_000021205046
50,machine_000021208843
51,machine_000021210054
52,machine_000021210055
53,machine_000021210060
54,machine_000021210061
55,machine_000021211872
56,machine_000021213125
57,machine_000021213129
58,machine_000021214070
59,machine_000021214319
60,machine_000021214320
61,machine_000021214321
62,machine_000021214322
63,machine_000021214324
64,machine_000021214367
65,machine_000021214368
66,machine_000021214390
67,machine_000021214392
68,machine_000021214419
69,machine_000021214422
70,machine_000021218149
71,machine_000021218150
72,machine_000021218152
73,machine_000021218154
74,machine_000021219859
75,machine_000021219861
76,machine_000021219862
77,machine_000021219864
78,machine_000021219866
79,machine_000021220563
80,machine_000021225086
81,machine_000021225088
82,machine_000021225551
83,machine_000021225553
84,machine_000021238364
85,machine_000021239050
86,machine_000021242380
87,machine_000021242889
88,machine_000021243992
89,machine_000021243993
90,machine_000021243994
91,machine_000021243997
92,machine_000021244001
93,machine_000021246718
94,machine_000021247437
95,machine_000021247440
96,machine_000021249460
97,machine_000021250647
98,machine_000021250965
99,machine_000021250972
100,machine_000021271022
101,machine_000021271955
102,machine_000021271991
103,machine_000021284289
104,machine_000021284385
105,machine_000021284768
106,machine_000021284769
107,machine_000021284772
108,machine_000021284813
109,machine_000021284874
110,machine_000021285498
111,machine_000021289475
112,machine_000021292305
113,machine_000021296096
114,machine_000021296101
115,machine_000021296943
116,machine_000021297601
117,machine_000021297607
118,machine_000021304766
119,machine_000021305997
120,machine_000021307874
121,machine_000021307875
122,machine_000021307904
123,machine_000021307910
124,machine_000021310334
125,machine_000021310337
126,machine_000021312263
127,machine_000021312264
128,machine_000021312463
129,machine_000021312464
130,machine_000021313693
131,machine_000021346458
132,machine_000021359311
133,machine_000021365709
134,machine_000021365712
135,machine_000021365801
136,machine_000021365806
137,machine_000021366203
138,machine_000021366403
139,machine_000021369273
140,machine_000021369274
141,machine_000021369276
142,machine_000021372225
143,machine_000021372226
144,machine_000021372228
145,machine_000021372229
146,machine_000021372310
147,machine_000021373052
148,machine_000021373054
149,machine_000021375451
150,machine_000021375456
151,machine_000021375457
152,machine_000021375644
153,machine_000021375649
154,machine_000021375656
155,machine_000021378227
156,machine_000021378235
157,machine_000021378237
158,machine_000021381320
159,machine_000021381323
160,machine_000021383004
161,machine_000021384471
162,machine_000021387325
163,machine_000021389249
164,machine_000021389250
165,machine_000021392422
166,machine_000021393410
167,machine_000021393415
168,machine_000021394550
169,machine_000021394551
170,machine_000021399561
171,machine_000021399567
172,machine_000021408525
173,machine_000021408534
174,machine_000021408535
175,machine_000021408536
176,machine_000021412020
177,machine_000021412985
178,machine_000021421078
179,machine_000021421081
180,machine_000021428753
181,machine_000021430418
182,machine_000021437725
183,machine_000021472849
184,machine_000021530301
185,machine_000021531938
186,machine_000021532188
187,machine_000021533869
188,machine_000021548360
189,machine_000021550979
190,machine_000021560261
191,machine_000021575989
192,machine_000021577706
193,machine_000021578409
194,machine_000021579160
195,machine_000021799165
196,machine_000021810522
197,machine_000021814903
198,machine_000021815349
199,machine_000021816351
200,machine_000021816352
201,machine_000021830723
202,machine_000021833279
203,machine_000021833280
204,machine_000021833514
205,machine_000021833521
206,machine_000021833523
207,machine_000021834880
208,machine_000021840479
209,machine_000021950386
210,machine_000021952925
211,machine_000021955461
212,machine_000021955463
213,machine_000021964271
214,machine_000021964272
215,machine_000021965679
216,machine_000022099596
217,machine_000022265820
218,machine_000022320984
219,machine_000022321211
220,machine_000022338619
221,machine_000022339896
222,machine_000022353490
223,machine_000022363730
224,machine_000022387732
225,machine_000022480872
226,machine_000022493661
227,machine_000022493662
228,machine_000022498953
229,machine_000022498957
230,machine_000022500761
231,machine_000022502604
232,machine_000022502746
233,machine_000022502783
234,machine_000022506461
235,machine_000022509939
236,machine_000022519897
237,machine_000022566197
238,machine_000022659502
239,machine_000022767099
240,machine_000022785452
241,machine_000022805831
242,machine_000022807014
243,machine_000022812170
244,machine_000022975349
245,machine_000023002727
246,machine_000023018748
247,machine_000023028314
248,machine_000023028379
249,machine_000023028900
250,machine_000023266463
251,machine_000023336370
252,machine_000023354412
253,machine_000024856456
254,machine_000025955858
255,machine_000026617653
256,machine_000027031792
257,machine_000027296426
258,machine_000027305990
259,machine_000028264316
260,machine_000028992555
261,machine_000028995799
262,machine_000033563793
263,machine_000034407717
264,machine_000045090857
265,machine_000062155168
266,machine_000062155170
267,machine_000062155176
268,machine_000062155178
269,machine_000062156444
270,machine_000062156450
271,machine_000062156452
272,machine_000062156458
273,machine_000062157275
274,machine_000062157276
275,machine_000062158201
276,machine_000062159007
277,machine_000062165730
278,machine_000062185092
279,machine_000062185120
280,machine_000062185124
281,machine_000062185130
282,machine_000062185131
283,machine_000075825628
284,machine_000100217274
285,machine_000151864006
286,machine_000151864012
287,machine_000151919962
288,machine_000151920040
289,machine_000151923539
290,machine_000151923673
291,machine_000151927863
292,machine_000151927873
293,machine_000151929020
294,machine_000151929030
295,machine_000151931919
296,machine_000151931921
297,machine_000151951111
298,machine_000252600480
299,machine_000252600525
300,machine_000252614640
301,machine_000252672794
302,machine_000252678136
303,machine_000252694528
304,machine_000252933373
305,machine_000252939048
306,machine_000252955338
307,machine_000252981892
308,machine_000253033261
309,machine_000253319238
310,machine_000253475119
311,machine_000571714863
312,machine_000571794697
313,machine_000571890735
314,machine_000572376432
315,machine_000572808449
316,machine_000573082760
317,machine_000573115987
318,machine_000573125312
319,machine_000573125313
320,machine_000573128890
321,machine_000573130630
322,machine_000573133109
323,machine_000573250839
324,machine_000573259014
325,machine_000573273821
326,machine_000573273822
327,machine_000573288319
328,machine_000573345636
329,machine_000573356513
330,machine_000573925384
331,machine_000573981560
332,machine_000573981561
333,machine_000573989906
334,machine_000573995751
335,machine_000574006337
336,machine_000574011650
337,machine_000574216485
338,machine_000574395540
339,machine_000574411197
340,machine_000574430662
341,machine_000574432123
342,machine_000574449866
343,machine_000574462343
344,machine_000574465775
345,machine_000574468727
346,machine_000574472905
347,machine_000574485569
348,machine_000574490257
349,machine_000574630414
350,machine_000574659917
351,machine_000574675431
352,machine_000574675433
353,machine_000574675916
354,machine_000574694809
355,machine_000574702154
356,machine_000574711269
357,machine_000574715302
358,machine_000574717124
359,machine_000574717125
360,machine_000574738988
361,machine_000574741261
362,machine_000575091537
363,machine_000938767764
364,machine_000938916803
365,machine_000938916804
366,machine_000939045173
367,machine_000940070650
368,machine_000940094803
369,machine_001128085523
370,machine_001128087483
371,machine_001128201798
372,machine_001128206625
373,machine_001128220442
374,machine_001128248573
375,machine_001128334674
376,machine_001128359188
377,machine_001128387804
378,machine_001128423235
379,machine_001128603553
380,machine_001128605430
381,machine_001128627064
382,machine_001128627207
383,machine_001128627311
384,machine_001128661986
385,machine_001128667016
386,machine_001128691100
387,machine_001128696959
388,machine_001128837990
389,machine_001128891201
390,machine_001129024821
391,machine_001129026546
392,machine_001129031876
393,machine_001129036456
394,machine_001129089710
395,machine_001129108003
396,machine_001129108004
397,machine_001129108005
398,machine_001129108006
399,machine_001129108990
400,machine_001129143611
401,machine_001129143631
402,machine_001129145604
403,machine_001129145970
404,machine_001129209153
405,machine_001129221339
406,machine_001129249519
407,machine_001129261687
408,machine_001129319861
409,machine_001129392907
410,machine_001129518638
411,machine_001129949252
412,machine_001129962234
413,machine_001129983118
414,machine_001129983874
415,machine_001130875609
416,machine_001130893860
417,machine_001130895404
418,machine_001130908865
419,machine_001130910955
420,machine_001130910956
421,machine_001130911809
422,machine_001130911924
423,machine_001130911954
424,machine_001130924864
425,machine_001130924872
426,machine_001130929307
427,machine_001130929313
428,machine_001130929314
429,machine_001130931107
430,machine_001130931108
431,machine_001130931115
432,machine_001130932131
433,machine_001130932132
434,machine_001131112478
435,machine_001131158360
436,machine_001131183174
437,machine_001131183175
438,machine_001131230392
439,machine_001131269810
440,machine_001131276720
441,machine_001132589876
442,machine_001132704117
443,machine_001144534606
444,machine_001145704571
445,machine_001145770527
446,machine_001145788585
447,machine_001145817715
448,machine_001145827675
449,machine_001145834852
450,machine_001145849813
451,machine_001145850860
452,machine_001145851252
453,machine_001145857191
454,machine_001145931598
455,machine_001145941457
456,machine_001146037470
457,machine_001146043060
458,machine_001146043083
459,machine_001146059911
460,machine_001146136326
461,machine_001146150286
462,machine_001146151941
463,machine_001146236058
464,machine_001146243260
465,machine_001187328751
466,machine_001187413267
467,machine_001375374316
468,machine_001375388646
469,machine_001375476792
470,machine_001375482143
471,machine_001375591284
472,machine_001375614711
473,machine_001375616122
474,machine_001375872820
475,machine_001376332590
476,machine_001376342331
