,Series
0,machine_000020737083
1,machine_000020858399
2,machine_000020946831
3,machine_000020967708
4,machine_000020967726
5,machine_000020967739
6,machine_000020968055
7,machine_000020973859
8,machine_000020981430
9,machine_000021178090
10,machine_000021179504
11,machine_000021204371
12,machine_000021205161
13,machine_000021205162
14,machine_000021206657
15,machine_000021214323
16,machine_000021218153
17,machine_000021219858
18,machine_000021219860
19,machine_000021225087
20,machine_000021225333
21,machine_000021238174
22,machine_000021238362
23,machine_000021242378
24,machine_000021242379
25,machine_000021242630
26,machine_000021243991
27,machine_000021243998
28,machine_000021247078
29,machine_000021247079
30,machine_000021247439
31,machine_000021263130
32,machine_000021284213
33,machine_000021284292
34,machine_000021284368
35,machine_000021284375
36,machine_000021284378
37,machine_000021284386
38,machine_000021284766
39,machine_000021284767
40,machine_000021284871
41,machine_000021284872
42,machine_000021284875
43,machine_000021292441
44,machine_000021296097
45,machine_000021296399
46,machine_000021296944
47,machine_000021297603
48,machine_000021305998
49,machine_000021306000
50,machine_000021307769
51,machine_000021307911
52,machine_000021310335
53,machine_000021310336
54,machine_000021338724
55,machine_000021345135
56,machine_000021346457
57,machine_000021350938
58,machine_000021352504
59,machine_000021356337
60,machine_000021365711
61,machine_000021365713
62,machine_000021365805
63,machine_000021366165
64,machine_000021366202
65,machine_000021366401
66,machine_000021373053
67,machine_000021375453
68,machine_000021375454
69,machine_000021375455
70,machine_000021375646
71,machine_000021375657
72,machine_000021375658
73,machine_000021378228
74,machine_000021378234
75,machine_000021378238
76,machine_000021381319
77,machine_000021382998
78,machine_000021383001
79,machine_000021387321
80,machine_000021387322
81,machine_000021389251
82,machine_000021392421
83,machine_000021392423
84,machine_000021393405
85,machine_000021393406
86,machine_000021393413
87,machine_000021393414
88,machine_000021394549
89,machine_000021399559
90,machine_000021399565
91,machine_000021400965
92,machine_000021400968
93,machine_000021400971
94,machine_000021400972
95,machine_000021408287
96,machine_000021412015
97,machine_000021412019
98,machine_000021412984
99,machine_000021412988
100,machine_000021412989
101,machine_000021421077
102,machine_000021430421
103,machine_000021430422
104,machine_000021473966
105,machine_000021530653
106,machine_000021532186
107,machine_000021532187
108,machine_000021533866
109,machine_000021548362
110,machine_000021556001
111,machine_000021556002
112,machine_000021556033
113,machine_000021561856
114,machine_000021571386
115,machine_000021571432
116,machine_000021576194
117,machine_000021578587
118,machine_000021734806
119,machine_000021814444
120,machine_000021814902
121,machine_000021840480
122,machine_000021841727
123,machine_000021843328
124,machine_000021952748
125,machine_000022305521
126,machine_000022338306
127,machine_000022353489
128,machine_000022477068
129,machine_000022490634
130,machine_000022498955
131,machine_000022500760
132,machine_000022502450
133,machine_000022502747
134,machine_000022518850
135,machine_000022519898
136,machine_000022620985
137,machine_000022620986
138,machine_000022784754
139,machine_000022806733
140,machine_000022930760
141,machine_000022993578
142,machine_000022996256
143,machine_000023018749
144,machine_000023023332
145,machine_000023033670
146,machine_000023036349
147,machine_000023266462
148,machine_000023285637
149,machine_000023297977
150,machine_000023327667
151,machine_000026006751
152,machine_000027199188
153,machine_000028023199
154,machine_000029042847
155,machine_000029113538
156,machine_000033018026
157,machine_000034166520
158,machine_000039501908
159,machine_000039694249
160,machine_000062156456
161,machine_000062157273
162,machine_000100805214
163,machine_001375374317
164,machine_001573345799
165,machine_001573932368
166,machine_001578283564
