,Series
0,machine_000020732906
1,machine_000020733605
2,machine_000020733607
3,machine_000020733622
4,machine_000020733623
5,machine_000020734327
6,machine_000020734337
7,machine_000020736591
8,machine_000020736592
9,machine_000020736636
10,machine_000020736639
11,machine_000020736640
12,machine_000020736641
13,machine_000020736649
14,machine_000020736650
15,machine_000020736653
16,machine_000020736655
17,machine_000020736659
18,machine_000020736660
19,machine_000020736663
20,machine_000020736669
21,machine_000020736678
22,machine_000020736679
23,machine_000020736680
24,machine_000020736683
25,machine_000020736692
26,machine_000020736698
27,machine_000020736700
28,machine_000020736701
29,machine_000020736725
30,machine_000020736730
31,machine_000020736842
32,machine_000020736844
33,machine_000020736881
34,machine_000020736897
35,machine_000020736898
36,machine_000020736900
37,machine_000020736909
38,machine_000020736911
39,machine_000020736940
40,machine_000020736948
41,machine_000020736949
42,machine_000020736952
43,machine_000020736960
44,machine_000020736964
45,machine_000020736965
46,machine_000020736969
47,machine_000020736974
48,machine_000020736978
49,machine_000020736991
50,machine_000020737005
51,machine_000020737016
52,machine_000020737027
53,machine_000020737037
54,machine_000020737047
55,machine_000020737056
56,machine_000020737058
57,machine_000020737062
58,machine_000020737063
59,machine_000020737070
60,machine_000020737074
61,machine_000020737080
62,machine_000020737081
63,machine_000020737086
64,machine_000020737089
65,machine_000020737112
66,machine_000020737115
67,machine_000020737116
68,machine_000020737117
69,machine_000020737118
70,machine_000020737126
71,machine_000020737139
72,machine_000020737140
73,machine_000020737162
74,machine_000020737530
75,machine_000020737536
76,machine_000020737537
77,machine_000020737543
78,machine_000020738058
79,machine_000020738086
80,machine_000020738137
81,machine_000020738145
82,machine_000020738219
83,machine_000020738242
84,machine_000020741520
85,machine_000020741530
86,machine_000020744357
87,machine_000020744584
88,machine_000020744586
89,machine_000020747579
90,machine_000020748054
91,machine_000020968054
92,machine_000020973863
93,machine_000021070624
94,machine_000021087195
95,machine_000021105138
96,machine_000021109207
97,machine_000021109326
98,machine_000021112873
99,machine_000021116067
100,machine_000021137545
101,machine_000021137928
102,machine_000021137987
103,machine_000021178088
104,machine_000021178098
105,machine_000021202483
106,machine_000021202484
107,machine_000021204372
108,machine_000021205164
109,machine_000021210056
110,machine_000021210057
111,machine_000021214074
112,machine_000021214325
113,machine_000021214388
114,machine_000021214389
115,machine_000021219857
116,machine_000021225084
117,machine_000021225331
118,machine_000021246716
119,machine_000021283786
120,machine_000021284284
121,machine_000021284320
122,machine_000021284324
123,machine_000021284374
124,machine_000021284383
125,machine_000021284384
126,machine_000021284870
127,machine_000021292299
128,machine_000021296942
129,machine_000021297602
130,machine_000021297606
131,machine_000021304767
132,machine_000021305992
133,machine_000021305993
134,machine_000021307765
135,machine_000021307872
136,machine_000021307908
137,machine_000021308826
138,machine_000021308831
139,machine_000021360683
